Lot No,prdcode,생산 완료 수량,생산일
H4128,CCAB001,432,"Apr 4, 2025 12:00 AM"
B5066,BBTBO0010,600,"Apr 14, 2025 12:00 AM"
B5109,BBTBO0030,450,"Jun 9, 2025 12:00 AM"
B5110,PBTBO0020,2391,"Jun 10, 2025 12:00 AM"
B5109,PBTBO0030,441,"Jun 10, 2025 12:00 AM"
H5022,PAOSP0000,,"Apr 4, 2025 12:00 AM"
YA001,FJMK5T1,,
,PRRBM0020,,
,FJSM001,99,"Apr 4, 2025 12:00 AM"
,FJBB001,576,"Apr 4, 2025 12:00 AM"
,FJCRT02,,
C5082,PFJCR0080,1957,"Apr 4, 2025 12:00 AM"
,FJSL004,330,"Apr 4, 2025 12:00 AM"
B5048,PBTBC0070,630,"Apr 4, 2025 12:00 AM"
S5069,PFJSL0030,3692,"Apr 4, 2025 12:00 AM"
S5069,FJSL003,3691,"Apr 4, 2025 12:00 AM"
B5048,BTBC007,630,"Apr 4, 2025 12:00 AM"
,PAOSP0000,,
C5027,FJCR004,420,"Apr 7, 2025 12:00 AM"
E5005,FJAP004,539,"Apr 7, 2025 12:00 AM"
H4038,CCSP001,140,"Apr 7, 2025 12:00 AM"
YA001,FJMK5T1,816,"Apr 7, 2025 12:00 AM"
B5052,PKBOW0030,498,"Apr 7, 2025 12:00 AM"
B5075,BILMT0050,185,"Apr 23, 2025 12:00 AM"
B5076,BILWS0020,610,"Apr 23, 2025 12:00 AM"
B5075,PILMT0050,3001,"Apr 29, 2025 12:00 AM"
B5076,PILWS0020,,
B5055,PBTBC0070,1001,"Apr 7, 2025 12:00 AM"
B5048,PBTBC0070,322,"Apr 7, 2025 12:00 AM"
B5048,BTBC007,322,"Apr 7, 2025 12:00 AM"
B5026,BTBC004,233,"Apr 7, 2025 12:00 AM"
B5050,PBTBC0040,1121,"Apr 7, 2025 12:00 AM"
B5050,BTBC004,1120,"Apr 7, 2025 12:00 AM"
B5065,PAOBC0000,1314,"Apr 7, 2025 12:00 AM"
C5094,BFJCR0020,800,"Apr 9, 2025 12:00 AM"
H5024,BAOSP0040,2000,"Apr 11, 2025 12:00 AM"
,AOSP004,,
C5094,FJCRM02,5000,"Apr 10, 2025 12:00 AM"
C5094,FJCR002,,
C5099,BFJFC0020,800,"Apr 14, 2025 12:00 AM"
C5100,BFJFC0020,800,"Apr 14, 2025 12:00 AM"
B5069,BAOBC0040,2000,"Apr 15, 2025 12:00 AM"
B5051,PBTBC0040,1121,"Apr 7, 2025 12:00 AM"
B5051,BTBC004,1120,"Apr 7, 2025 12:00 AM"
H5025,BCCSP0040,1050,"Apr 14, 2025 12:00 AM"
E5017,BAOHS0000,1000,"Apr 10, 2025 12:00 AM"
 S5074,FJSL001,1907,"Apr 18, 2025 12:00 AM"
H5025,CCSP004,,
B5064,AOBC004,,
C5097,FJPK001,1163,"Apr 21, 2025 12:00 AM"
C5078,FJEC006,336,"Apr 29, 2025 12:00 AM"
C5098,PFJCR0060,1812,"May 20, 2025 12:00 AM"
C5108,BFJSM0010,82,"Apr 17, 2025 12:00 AM"
C5117,BFJMK0080,490,"Apr 30, 2025 12:00 AM"
YA001,FJMK5T1,432,"Apr 7, 2025 12:00 AM"
C5089,PFJCR0020,780,"Apr 8, 2025 12:00 AM"
C5089,FJCRT02,,
B5058,BTBC005,756,"Apr 8, 2025 12:00 AM"
,BTBC007,,
,BTBC006,,
B5058,PBTBC0050,,
B5058,PBTBC0050,757,"Apr 8, 2025 12:00 AM"
H5022,PAOSP0000,1321,"Apr 8, 2025 12:00 AM"
C5113,BFJCR0070,510,"Apr 21, 2025 12:00 AM"
C5113,FJCR007,4741,"May 29, 2025 12:00 AM"
,PRMOP0000,,
B5083,AJBC002,960,"Apr 30, 2025 12:00 AM"
B5083,BAJBC0020,2000,"Apr 29, 2025 12:00 AM"
B5084,BAJBC0020,1050,"Apr 28, 2025 12:00 AM"
C5118,BFJFC0020,800,"May 7, 2025 12:00 AM"
C5119,BFJFC0020,800,"May 8, 2025 12:00 AM"
C5120,BFJFC0020,800,"May 8, 2025 12:00 AM"
C5121,BFJFC0020,800,"May 9, 2025 12:00 AM"
C5119,PFJFC0020,5500,"May 9, 2025 12:00 AM"
S5081,BFJSL0010,1000,"May 12, 2025 12:00 AM"
S5082,BFJSL0010,1000,"May 12, 2025 12:00 AM"
C5140,BFJCR0020,800,"May 30, 2025 12:00 AM"
C5141,BFJCR0020,800,"May 30, 2025 12:00 AM"
,FJBF001,,
C5126,BAOFC0010,800,"May 13, 2025 12:00 AM"
C5127,BAOFC0010,800,"May 13, 2025 12:00 AM"
C5096,BFJCR0020,800,"Apr 10, 2025 12:00 AM"
C5096,FJCR002,,
C5099,PFJFC0020,5500,"Apr 16, 2025 12:00 AM"
C5091,PFJCRM030,,
CC5091,PFJCR0030,3001,"Apr 10, 2025 12:00 AM"
S5070,RRBM001,2049,"Apr 10, 2025 12:00 AM"
S5072,RRBM002,,
B5052,KBOW003,500,"Apr 8, 2025 12:00 AM"
B5064,PMLHW0030,1000,"Apr 8, 2025 12:00 AM"
M5061,BRMBL0040,1000,"May 2, 2025 12:00 AM"
C5090,PFJCR0050,6505,"Apr 8, 2025 12:00 AM"
B5077,BBTBC0040,1000,"Apr 23, 2025 12:00 AM"
B5078,BBTBC0040,1000,"Apr 23, 2025 12:00 AM"
B5079,BBTBC0050,1000,"Apr 24, 2025 12:00 AM"
B5080,BBTBC0050,1000,"Apr 24, 2025 12:00 AM"
B5081,BBTBC0060,1000,"Apr 25, 2025 12:00 AM"
B5082,BBTBC0060,1000,"Apr 25, 2025 12:00 AM"
B5091,BBTBC0070,1000,"May 13, 2025 12:00 AM"
B5092,BBTBC0070,1000,"May 13, 2025 12:00 AM"
B5077,BTBC004,1006,"May 7, 2025 12:00 AM"
B5079,BTBC005,990,"May 7, 2025 12:00 AM"
B5081,BTBC006,994,"May 8, 2025 12:00 AM"
C5082,FJCR008,1931,"Apr 8, 2025 12:00 AM"
B5064,MLHW003,962,"Apr 11, 2025 12:00 AM"
B5057,BTBC006,979,"Apr 9, 2025 12:00 AM"
H2721J,CCRT001,384,"Apr 8, 2025 12:00 AM"
C5050,FJEC001,858,"Apr 8, 2025 12:00 AM"
B5023,PAOSP0000,1321,"Apr 8, 2025 12:00 AM"
B5023,AOSP000,1320,"Apr 8, 2025 12:00 AM"
C5106,BFJFC0020,800,"Apr 16, 2025 12:00 AM"
C5107,BFJFC0020,800,"Apr 16, 2025 12:00 AM"
C5100,PFJFC0020,5530,"Apr 17, 2025 12:00 AM"
C5109,BFJFC0020,800,"Apr 17, 2025 12:00 AM"
C5110,BFJFC0020,800,"Apr 17, 2025 12:00 AM"
C5104,PFJFC0020,5450,"Apr 18, 2025 12:00 AM"
C5090,FJCR005,,
C5103,BFJFC0020,800,"Apr 15, 2025 12:00 AM"
C5104,BFJFC0020,800,"Apr 15, 2025 12:00 AM"
C5089,FJCR002,2936,"Apr 9, 2025 12:00 AM"
C5114,FJCR002,,
C5109,PFJFC0020,5500,"Apr 21, 2025 12:00 AM"
B5056,PBTBC0060,979,"Apr 9, 2025 12:00 AM"
C5073,KBHC013,400,"Apr 9, 2025 12:00 AM"
C5094,PFJCR0020,,
B5061,RLBC001,1750,"Apr 9, 2025 12:00 AM"
B5060,PRLBC0010,1751,"Apr 9, 2025 12:00 AM"
B5061,PRLBC0010,1751,"Apr 9, 2025 12:00 AM"
B5063,PRLBC0020,1297,"Apr 9, 2025 12:00 AM"
